result,borough,inspection_month,inspection_year,inspection_daytime,covid_yn,prcp,snow,snwd,tmin,tmax,inspection_result,avg_temp,feeling,prcp_yn,snow_yn,snwd_yn
Passed,Staten Island,Apr,2021,Morning,1,0,0,0,8.9,22.2,0,15.55,Cool,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,8.9,22.2,0,15.55,Cool,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,0,0,0,8.9,22.2,0,15.55,Cool,0,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,0,0,0,8.9,22.2,0,15.55,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,0,0,0,8.9,22.2,1,15.55,Cool,0,0,0
Passed,Bronx,Apr,2021,Afternoon,1,0,0,0,8.9,22.2,0,15.55,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Morning,1,0,0,0,8.9,22.2,0,15.55,Cool,0,0,0
Passed,Staten Island,Apr,2021,Afternoon,1,0,0,0,8.9,22.2,0,15.55,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,0,0,0,8.9,22.2,1,15.55,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,0,0,0,8.9,22.2,1,15.55,Cool,0,0,0
Passed,Queens,Apr,2021,Morning,1,0,0,0,8.9,22.2,0,15.55,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,0,0,0,8.9,22.2,1,15.55,Cool,0,0,0
Rat Activity,Staten Island,Apr,2021,Afternoon,1,0,0,0,8.9,22.2,1,15.55,Cool,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
Passed,Bronx,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
Passed,Brooklyn,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,21.1,0,0,7.2,14.4,1,10.8,Cool,1,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,1,10.8,Cool,1,0,0
Passed,Queens,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,1,10.8,Cool,1,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,21.1,0,0,7.2,14.4,1,10.8,Cool,1,0,0
Passed,Staten Island,Apr,2021,Morning,1,21.1,0,0,7.2,14.4,0,10.8,Cool,1,0,0
